osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
way,319857331,Lumen San Antonio 2,Lumen Technologies,Q5063092,,29.438279,-98.506522,1181.9,48029,TX,2025-12-23
way,321385147,Meta,Meta,Q380,,44.295883,-120.887261,25050.7,41013,OR,2016-12-16
way,325096144,Adobe Data Center,,,,45.550185,-122.931588,10670.3,41067,OR,2021-03-23
way,328702348,TGN Hillsboro,Tata Communications,,,45.546507,-122.893794,2226.7,41067,OR,2026-04-20
way,328702378,Stack Infrastructure - POR02,Stack Infrastructure,Q115477173,POR02A,45.547312,-122.897449,19994.4,41067,OR,2021-02-12
way,328702401,Oracle,,,,45.543916,-122.896513,6182.2,41067,OR,2026-04-21
way,328702750,Digital Realty PDX10 Data Center,Digital Realty,Q5275969,,45.547617,-122.891958,6392.4,41067,OR,2021-02-12
way,328703598,Flexential Portland - Hillsboro 1,Flexential,Q115417504,,45.549821,-122.890851,3831.9,41067,OR,2021-02-17
way,328703599,Flexential Portland - Hillsboro 1,Flexential,Q115417504,,45.550334,-122.892202,4095.9,41067,OR,2021-02-12
way,329551673,Flexential Louisville - East,Flexential,Q115417504,,38.277198,-85.507241,3232.6,21111,KY,2024-08-15
way,330276516,Flexential Louisville - Downtown,Flexential,Q115417504,,38.242496,-85.733351,3393.3,21111,KY,2024-08-15
way,331132308,Verizon Hillsboro (Tanasbourne) Data Center,Verizon Business,Q467752,,45.544622,-122.882318,5694.9,41067,OR,2026-04-20
way,334264478,Terminal Commerce Building,,,,39.959810,-75.160832,11116.8,42101,PA,2022-10-31
way,335468616,TierPoint,,,,47.671917,-117.095935,1341.1,53063,WA,2024-06-09
way,336387583,Baltimore Technology Park,,,,39.275384,-76.625527,2799.3,24510,MD,2022-11-04
way,337126739,Intergate Seattle West Building C,Sabey,,,47.494131,-122.294407,1838.7,53033,WA,2016-12-17
way,337126741,Intergate Seattle West Building B,Sabey,,,47.493076,-122.293684,1778.2,53033,WA,2016-12-17
way,337126742,Intergate Seattle West Building A,Sabey,,,47.492148,-122.293320,3581.2,53033,WA,2016-12-17
way,337127817,Vantage WA11,,,,47.250165,-119.814490,13696.8,53025,WA,2019-07-23
way,337127824,NTT Data Quincy,NTT,Q1054787,,47.243588,-119.865712,9268.1,53025,WA,2019-07-25
way,337127832,,,,,47.238819,-119.859359,4121.7,53025,WA,2019-07-25
way,337127833,,,,,47.238262,-119.859366,2982.8,53025,WA,2019-07-25
way,342664739,Geneseo Communications Inc,,,,41.550269,-90.482409,5015.3,19163,IA,2020-03-29
way,343333944,Lumen Minneapolis 3,Lumen Technologies,Q5063092,,44.988766,-93.276610,1245.0,27053,MN,2026-06-19
way,343593591,,,,,41.905355,-88.219514,1351.8,17043,IL,2022-02-23
way,345650474,,,,,40.552819,-74.456676,5691.6,34023,NJ,2024-12-25
way,349925359,,Verizon Wireless,,,39.717184,-85.941330,1951.5,18059,IN,2025-10-18
way,354590432,,,,,40.784739,-74.064358,3201.7,34017,NJ,2024-04-23
way,355926681,Flexential Salt Lake City - South Valley,Flexential,Q115417504,,40.620352,-111.986047,2837.9,49035,UT,2024-08-15
way,358455179,Digital Realty Silicon Valley SC1,Digital Realty,Q5275969,,37.361687,-121.943911,27680.3,06085,CA,2016-12-16
way,358946546,QES Computers,,,,37.699475,-121.903799,87.4,06001,CA,2023-05-23
way,359930465,Equinix SE3 Data Center,Equinix,,SE3,47.614423,-122.339743,1168.3,53033,WA,2015-07-11
way,362662493,QTS Piscataway Data Center,Quality Technology Services,Q18392800,NJ1,40.556965,-74.484007,31907.1,34023,NJ,2017-10-10
way,363017375,AiNET,,,,39.052823,-76.925908,4000.2,24033,MD,2022-11-04
way,364289073,Microsoft,Microsoft,Q2283,,29.478216,-98.690721,23986.8,48029,TX,2017-07-23
way,364289074,Microsoft San Antonio,Microsoft,Q2283,,29.479926,-98.692608,44467.4,48029,TX,2017-07-23
way,364289077,Microsoft,Microsoft,Q2283,,29.481066,-98.696559,18108.4,48029,TX,2017-07-23
way,365941471,,Claro,,,18.446827,-66.051687,2149.6,72127,PR,2025-05-11
